id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_category
0,842,No,2.2,No,1,No,7,0.6,188,2,2,20,756,2549,9,7,19,No,No,Yes,No
1,1021,Yes,0.5,Yes,0,Yes,53,0.7,136,3,6,905,1988,2631,17,3,7,Yes,Yes,No,No
2,563,Yes,0.5,Yes,2,Yes,41,0.9,145,5,6,1263,1716,2603,11,2,9,Yes,Yes,No,No
3,615,Yes,2.5,No,0,No,10,0.8,131,6,9,1216,1786,2769,16,8,11,Yes,No,No,No
4,1821,Yes,1.2,No,13,Yes,44,0.6,141,2,14,1208,1212,1411,8,2,15,Yes,Yes,No,No
5,1859,No,0.5,Yes,3,No,22,0.7,164,1,7,1004,1654,1067,17,1,10,Yes,No,No,No
6,1821,No,1.7,No,4,Yes,10,0.8,139,8,10,381,1018,3220,13,8,18,Yes,No,Yes,Yes
7,1954,No,0.5,Yes,0,No,24,0.8,187,4,9.9165,512,1149,700,16,3,5,Yes,Yes,Yes,No
8,1445,Yes,0.5,No,0,No,53,0.7,174,7,14,386,836,1099,17,1,20,Yes,No,No,No
9,509,Yes,0.6,Yes,2,Yes,9,0.1,93,5,15,1137,1224,513,19,10,12,Yes,No,No,No
10,769,Yes,2.9,Yes,0,No,9,0.1,182,5,1,248,874,3946,5,2,7,No,No,No,Yes
11,1520,Yes,2.2,No,5,Yes,33,0.5,177,8,18,151,1005,3826,14,9,13,Yes,Yes,Yes,Yes
12,1815,No,2.8,No,2,No,33,0.6,159,4,17,607,748,1482,18,5.767,2,Yes,No,No,No
13,803,Yes,2.1,No,7,No,17,1,198,4,11,344,1440,2680,7,1,4,Yes,No,Yes,No
14,1866,No,0.5,No,13,Yes,52,0.7,185,1,17,356,563,373,14,9,3,Yes,No,Yes,No
15,775,No,1,No,3,No,46,0.7,159,2,16,862,1864,568,17,15,11,Yes,Yes,Yes,No
16,838,No,0.5,No,1,Yes,13,0.1,196,8,4,984,1850,3554,10,9,19,Yes,No,Yes,Yes
17,595,No,0.9,Yes,7,Yes,23,0.1,121,3,17,441,810,3752,10,2,18,Yes,Yes,No,Yes
18,1131,Yes,0.5,Yes,11,No,49,0.6,101,5,18,658,878,1835,19,13,16,Yes,Yes,No,No
19,682,Yes,0.5,No,4,No,19,1,121,4,11,902,1064,2337,11,1,18,No,Yes,Yes,No
20,772,No,1.1,Yes,12,No,39,0.8,81,7,14,1314,1854,2819,17,15,3,Yes,Yes,No,Yes
21,1709,Yes,2.1,No,1,No,13,1,156,2,2,974,1385,3283,17,1,15,Yes,No,No,Yes
22,1949,No,2.6,Yes,4,No,47,0.3,199,4,7,407,822,1433,11,5,20,No,No,Yes,No
23,1602,Yes,2.8,Yes,4,Yes,38,0.7,114,3,20,466,788,1037,8,7,20,Yes,No,No,No
24,503,No,1.2,Yes,5,Yes,8,0.4,111,3,13,201,1245,2583,11,5.767,12,Yes,No,No,No
25,961,Yes,1.4,Yes,0,Yes,57,0.6,114,8,3,291,1434,2782,18,9,7,Yes,Yes,Yes,No
26,519,Yes,1.6,Yes,7,Yes,51,0.3,132,4,19,550,645,3763,16,1,4,Yes,No,Yes,Yes
27,956,No,0.5,No,1,Yes,41,1,143,7,6,511,1075,3286,17,8,12,Yes,Yes,No,Yes
28,1453,No,1.6,Yes,12,Yes,52,0.3,96,2,18,187,1311,2373,10,1,10,Yes,Yes,Yes,No
29,851,No,0.5,No,3,No,21,0.4,200,5,7,1171,1263,478,12,7,10,Yes,No,Yes,No
30,1579,Yes,0.5,Yes,0,No,5,0.2,88,7,9,1358,1739,3532,17,11,12,No,No,Yes,Yes
31,1568,Yes,0.5,No,16,No,33,1,150,8,20,413,654,508,5,1,6,Yes,Yes,Yes,No
32,1319,Yes,0.9,No,3,Yes,41,0.9,107,1,18,85,1152,2227,18,5,3,Yes,Yes,Yes,No
33,1310,Yes,2.2,Yes,0,Yes,51,0.6,100,4,9.9165,178,1919,3845,7,5.767,12,Yes,Yes,No,Yes
34,644,Yes,2.7,No,0,No,22,0.7,157,8,3,311,881,1262,12,1,15,Yes,No,No,No
35,725,No,1.3,Yes,16,No,60,0.4,160,8,17,1134,1249,1326,10,4,15,Yes,No,No,No
36,589,Yes,2.3,Yes,1,No,61,0.6,160,4,10,429,815,2113,13,7,2,Yes,No,Yes,No
37,1725,Yes,1.6,Yes,6,Yes,6,0.5,119,2,18,609,1307,3429,6,5,4,Yes,Yes,No,Yes
38,790,No,2,Yes,16,Yes,11,0.3,87,6,17,347,730,3169,6,1,2,Yes,No,Yes,No
39,560,No,0.5,Yes,15,No,50,0.3,159,2,20,1448,1613,2150,18,12,11,Yes,Yes,No,No
40,1347,No,2.9,No,5,No,44,0.6,132,1,14,434,967,2484,18,2,11,Yes,No,Yes,No
41,1646,Yes,2.3,No,8,Yes,41,0.2,185,2,10,1725,1932,3339,18,10,19,Yes,Yes,No,Yes
42,1253,Yes,0.5,Yes,5,Yes,5,0.2,152,2,19,685,714,1878,15,5.767,4,Yes,Yes,No,No
43,1656,No,1,No,5,Yes,34,0.1,166,3,7,880,1456,1629,15,12,14,Yes,Yes,No,No
