@relation cleaned_mobile_price2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6

@attribute battery_power {Small,Medium,Large}
@attribute blue {No,Yes}
@attribute clock_speed {Small,Medium,Large}
@attribute dual_sim {No,Yes}
@attribute fc {Small,Medium,Large}
@attribute four_g {No,Yes}
@attribute int_memory {Small,Medium,Large}
@attribute m_dep {Small,Medium,Large}
@attribute mobile_wt {Small,Medium,Large}
@attribute n_cores {Small,Medium,Large}
@attribute pc {Small,Medium,Large}
@attribute px_height {Small,Medium,Large}
@attribute px_width {Small,Medium,Large}
@attribute ram {Small,Medium,Large}
@attribute sc_h {Small,Medium,Large}
@attribute sc_w {Small,Medium,Large}
@attribute talk_time {Small,Medium,Large}
@attribute three_g {No,Yes}
@attribute touch_screen {No,Yes}
@attribute wifi {Yes,No}
@attribute price_category {No,Yes}

@data
Small,No,Large,No,Small,No,Small,Medium,Large,Small,Small,Small,Small,Medium,Small,Medium,Large,No,No,Yes,No
Medium,Yes,Small,Yes,Small,Yes,Large,Medium,Medium,Small,Small,Medium,Large,Medium,Large,Small,Small,Yes,Yes,No,No
Small,Yes,Small,Yes,Small,Yes,Medium,Large,Medium,Medium,Small,Medium,Large,Medium,Medium,Small,Medium,Yes,Yes,No,No
Small,Yes,Large,No,Small,No,Small,Large,Medium,Large,Medium,Medium,Large,Large,Large,Medium,Medium,Yes,No,No,No
Large,Yes,Small,No,Large,Yes,Large,Medium,Medium,Small,Large,Medium,Medium,Small,Small,Small,Large,Yes,Yes,No,No
Large,No,Small,Yes,Small,No,Small,Medium,Large,Small,Medium,Medium,Large,Small,Large,Small,Medium,Yes,No,No,No
Large,No,Medium,No,Small,Yes,Small,Large,Medium,Large,Medium,Small,Medium,Large,Medium,Medium,Large,Yes,No,Yes,Yes
Large,No,Small,Yes,Small,No,Medium,Large,Large,Medium,Small,Small,Medium,Small,Large,Small,Small,Yes,Yes,Yes,No
Medium,Yes,Small,No,Small,No,Large,Medium,Large,Large,Large,Small,Small,Small,Large,Small,Large,Yes,No,No,No
Small,Yes,Small,Yes,Small,Yes,Small,Small,Small,Medium,Large,Medium,Medium,Small,Large,Medium,Medium,Yes,No,No,No
Small,Yes,Large,Yes,Small,No,Small,Small,Large,Medium,Small,Small,Small,Large,Small,Small,Small,No,No,No,Yes
Large,Yes,Large,No,Small,Yes,Medium,Medium,Large,Large,Large,Small,Medium,Large,Medium,Medium,Medium,Yes,Yes,Yes,Yes
Large,No,Large,No,Small,No,Medium,Medium,Medium,Medium,Large,Small,Small,Small,Large,Small,Small,Yes,No,No,No
Small,Yes,Medium,No,Medium,No,Small,Large,Large,Medium,Medium,Small,Medium,Medium,Small,Small,Small,Yes,No,Yes,No
Large,No,Small,No,Large,Yes,Large,Medium,Large,Small,Large,Small,Small,Small,Medium,Medium,Small,Yes,No,Yes,No
Small,No,Small,No,Small,No,Large,Medium,Medium,Small,Large,Medium,Large,Small,Large,Large,Medium,Yes,Yes,Yes,No
Small,No,Small,No,Small,Yes,Small,Small,Large,Large,Small,Medium,Large,Large,Medium,Medium,Large,Yes,No,Yes,Yes
Small,No,Small,Yes,Medium,Yes,Medium,Small,Medium,Small,Large,Small,Small,Large,Medium,Small,Large,Yes,Yes,No,Yes
Medium,Yes,Small,Yes,Medium,No,Large,Medium,Small,Medium,Large,Medium,Small,Medium,Large,Large,Large,Yes,Yes,No,No
Small,Yes,Small,No,Small,No,Small,Large,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Small,Large,No,Yes,Yes,No
Small,No,Small,Yes,Medium,No,Medium,Large,Small,Large,Large,Large,Large,Large,Large,Large,Small,Yes,Yes,No,Yes
Large,Yes,Medium,No,Small,No,Small,Large,Medium,Small,Small,Medium,Medium,Large,Large,Small,Large,Yes,No,No,Yes
Large,No,Large,Yes,Small,No,Large,Small,Large,Medium,Medium,Small,Small,Small,Medium,Small,Large,No,No,Yes,No
Large,Yes,Large,Yes,Small,Yes,Medium,Medium,Small,Small,Large,Small,Small,Small,Small,Medium,Large,Yes,No,No,No
Small,No,Small,Yes,Small,Yes,Small,Small,Small,Small,Medium,Small,Medium,Medium,Medium,Small,Medium,Yes,No,No,No
Small,Yes,Medium,Yes,Small,Yes,Large,Medium,Small,Large,Small,Small,Medium,Large,Large,Medium,Small,Yes,Yes,Yes,No
Small,Yes,Medium,Yes,Medium,Yes,Large,Small,Medium,Medium,Large,Small,Small,Large,Large,Small,Small,Yes,No,Yes,Yes
Small,No,Small,No,Small,Yes,Medium,Large,Medium,Large,Small,Small,Medium,Large,Large,Medium,Medium,Yes,Yes,No,Yes
Medium,No,Medium,Yes,Medium,Yes,Large,Small,Small,Small,Large,Small,Medium,Medium,Medium,Small,Medium,Yes,Yes,Yes,No
Small,No,Small,No,Small,No,Small,Small,Large,Medium,Medium,Medium,Medium,Small,Medium,Medium,Medium,Yes,No,Yes,No
Large,Yes,Small,Yes,Small,No,Small,Small,Small,Large,Medium,Large,Large,Large,Large,Medium,Medium,No,No,Yes,Yes
Large,Yes,Small,No,Large,No,Medium,Large,Medium,Large,Large,Small,Small,Small,Small,Small,Small,Yes,Yes,Yes,No
Medium,Yes,Small,No,Small,Yes,Medium,Large,Small,Small,Large,Small,Medium,Medium,Large,Small,Small,Yes,Yes,Yes,No
Medium,Yes,Large,Yes,Small,Yes,Large,Medium,Small,Medium,Small,Small,Large,Large,Small,Small,Medium,Yes,Yes,No,Yes
Small,Yes,Large,No,Small,No,Small,Medium,Medium,Large,Small,Small,Small,Small,Medium,Small,Large,Yes,No,No,No
Small,No,Small,Yes,Large,No,Large,Small,Medium,Large,Large,Medium,Medium,Small,Medium,Small,Large,Yes,No,No,No
Small,Yes,Large,Yes,Small,No,Large,Medium,Medium,Medium,Medium,Small,Small,Medium,Medium,Medium,Small,Yes,No,Yes,No
Large,Yes,Medium,Yes,Small,Yes,Small,Medium,Small,Small,Large,Small,Medium,Large,Small,Small,Small,Yes,Yes,No,Yes
Small,No,Medium,Yes,Large,Yes,Small,Small,Small,Large,Large,Small,Small,Large,Small,Small,Small,Yes,No,Yes,No
Small,No,Small,Yes,Large,No,Large,Small,Medium,Small,Large,Large,Large,Medium,Large,Medium,Medium,Yes,Yes,No,No
Medium,No,Large,No,Small,No,Large,Medium,Medium,Small,Large,Small,Small,Medium,Large,Small,Medium,Yes,No,Yes,No
Large,Yes,Large,No,Medium,Yes,Medium,Small,Large,Small,Medium,Large,Large,Large,Large,Medium,Large,Yes,Yes,No,Yes
Medium,Yes,Small,Yes,Small,Yes,Small,Small,Medium,Small,Large,Medium,Small,Medium,Large,Small,Small,Yes,Yes,No,No
Large,No,Small,No,Small,Yes,Medium,Small,Large,Small,Medium,Medium,Medium,Medium,Large,Medium,Medium,Yes,Yes,No,No
Medium,Yes,Large,No,Small,Yes,Small,Large,Small,Small,Large,Large,Large,Small,Small,Small,Medium,Yes,Yes,No,No
Large,No,Large,No,Small,No,Medium,Small,Small,Small,Small,Small,Large,Small,Small,Small,Large,No,Yes,Yes,No
Large,Yes,Small,Yes,Small,No,Medium,Large,Large,Large,Large,Small,Large,Large,Medium,Small,Small,Yes,No,No,Yes
Medium,Yes,Medium,Yes,Small,Yes,Medium,Large,Large,Large,Medium,Small,Small,Medium,Large,Medium,Medium,Yes,No,Yes,No
Small,Yes,Large,Yes,Small,Yes,Large,Small,Large,Large,Medium,Medium,Medium,Small,Large,Small,Small,Yes,No,Yes,No
Small,No,Medium,Yes,Medium,No,Large,Large,Small,Large,Large,Medium,Large,Large,Large,Large,Medium,No,No,No,Yes
Large,Yes,Large,Yes,Small,Yes,Small,Medium,Large,Small,Large,Medium,Large,Medium,Small,Small,Large,Yes,No,Yes,No
Large,No,Medium,Yes,Small,No,Large,Large,Medium,Large,Large,Large,Medium,Medium,Large,Medium,Large,No,Yes,No,No
Large,Yes,Medium,Yes,Small,Yes,Medium,Small,Small,Small,Small,Small,Small,Large,Medium,Small,Medium,Yes,Yes,No,Yes
Medium,No,Medium,Yes,Small,Yes,Small,Small,Small,Small,Medium,Medium,Medium,Small,Large,Medium,Medium,Yes,No,Yes,No
Medium,Yes,Small,Yes,Small,No,Large,Medium,Medium,Large,Small,Medium,Small,Large,Small,Small,Large,No,Yes,No,No
Large,No,Medium,Yes,Medium,Yes,Large,Medium,Small,Small,Large,Medium,Medium,Medium,Medium,Medium,Medium,Yes,No,No,No
Small,Yes,Large,Yes,Large,No,Large,Medium,Medium,Large,Large,Medium,Medium,Small,Medium,Medium,Large,Yes,Yes,Yes,No
Small,No,Small,Yes,Small,Yes,Large,Small,Small,Small,Medium,Small,Small,Large,Small,Small,Large,Yes,No,Yes,Yes
Large,No,Small,No,Medium,No,Large,Medium,Large,Large,Large,Small,Small,Medium,Small,Small,Small,No,No,No,No
Medium,No,Medium,Yes,Small,Yes,Large,Large,Medium,Medium,Small,Small,Small,Large,Large,Large,Medium,Yes,Yes,Yes,No
Medium,No,Large,No,Small,No,Small,Medium,Medium,Small,Small,Medium,Small,Small,Medium,Small,Large,Yes,Yes,No,No
Small,Yes,Large,No,Small,Yes,Large,Large,Medium,Large,Small,Small,Small,Small,Large,Small,Small,Yes,Yes,Yes,No
Medium,Yes,Small,Yes,Small,Yes,Large,Large,Medium,Small,Small,Small,Small,Small,Small,Small,Large,Yes,Yes,No,No
Large,No,Medium,No,Large,Yes,Large,Medium,Large,Small,Large,Medium,Medium,Medium,Medium,Small,Small,Yes,Yes,Yes,No
Small,No,Large,Yes,Small,Yes,Small,Medium,Medium,Small,Small,Small,Large,Large,Medium,Small,Large,Yes,No,No,No
Small,No,Medium,Yes,Large,Yes,Large,Large,Small,Small,Large,Small,Large,Large,Large,Medium,Medium,Yes,Yes,No,Yes
Medium,Yes,Small,No,Medium,Yes,Medium,Small,Medium,Medium,Large,Large,Large,Large,Small,Small,Small,Yes,Yes,No,Yes
Large,No,Medium,No,Small,No,Medium,Medium,Large,Small,Small,Small,Large,Large,Large,Medium,Small,No,No,No,Yes
