@relation cleaned_mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute blue {No,Yes}
@attribute clock_speed {'\'(-inf-0.75]\'','\'(0.75-1]\'','\'(1-1.25]\'','\'(1.25-1.5]\'','\'(1.5-1.75]\'','\'(1.75-2]\'','\'(2-2.25]\'','\'(2.25-2.5]\'','\'(2.5-2.75]\'','\'(2.75-inf)\''}
@attribute dual_sim {No,Yes}
@attribute fc {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute four_g {No,Yes}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute m_dep {'\'(-inf-0.19]\'','\'(0.19-0.28]\'','\'(0.28-0.37]\'','\'(0.37-0.46]\'','\'(0.46-0.55]\'','\'(0.55-0.64]\'','\'(0.64-0.73]\'','\'(0.73-0.82]\'','\'(0.82-0.91]\'','\'(0.91-inf)\''}
@attribute mobile_wt {'\'(-inf-92]\'','\'(92-104]\'','\'(104-116]\'','\'(116-128]\'','\'(128-140]\'','\'(140-152]\'','\'(152-164]\'','\'(164-176]\'','\'(176-188]\'','\'(188-inf)\''}
@attribute n_cores {'\'(-inf-1.7]\'','\'(1.7-2.4]\'','\'(2.4-3.1]\'','\'(3.1-3.8]\'','\'(3.8-4.5]\'','\'(4.5-5.2]\'','\'(5.2-5.9]\'','\'(5.9-6.6]\'','\'(6.6-7.3]\'','\'(7.3-inf)\''}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_height {'\'(-inf-196]\'','\'(196-392]\'','\'(392-588]\'','\'(588-784]\'','\'(784-980]\'','\'(980-1176]\'','\'(1176-1372]\'','\'(1372-1568]\'','\'(1568-1764]\'','\'(1764-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute sc_h {'\'(-inf-6.4]\'','\'(6.4-7.8]\'','\'(7.8-9.2]\'','\'(9.2-10.6]\'','\'(10.6-12]\'','\'(12-13.4]\'','\'(13.4-14.8]\'','\'(14.8-16.2]\'','\'(16.2-17.6]\'','\'(17.6-inf)\''}
@attribute sc_w {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute talk_time {'\'(-inf-3.8]\'','\'(3.8-5.6]\'','\'(5.6-7.4]\'','\'(7.4-9.2]\'','\'(9.2-11]\'','\'(11-12.8]\'','\'(12.8-14.6]\'','\'(14.6-16.4]\'','\'(16.4-18.2]\'','\'(18.2-inf)\''}
@attribute three_g {No,Yes}
@attribute touch_screen {No,Yes}
@attribute wifi {Yes,No}
@attribute price_category {No,Yes}

@data
'\'(800.4-950.1]\'',No,'\'(2-2.25]\'',No,'\'(-inf-1.9]\'',No,'\'(-inf-8.2]\'','\'(0.55-0.64]\'','\'(176-188]\'','\'(1.7-2.4]\'','\'(-inf-2]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'','\'(18.2-inf)\'',No,No,Yes,No
'\'(950.1-1099.8]\'',Yes,'\'(-inf-0.75]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(51.6-57.8]\'','\'(0.64-0.73]\'','\'(128-140]\'','\'(2.4-3.1]\'','\'(4-6]\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(2501.2-2875.4]\'','\'(16.2-17.6]\'','\'(1.8-3.6]\'','\'(5.6-7.4]\'',Yes,Yes,No,No
'\'(-inf-650.7]\'',Yes,'\'(-inf-0.75]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(39.2-45.4]\'','\'(0.82-0.91]\'','\'(140-152]\'','\'(4.5-5.2]\'','\'(4-6]\'','\'(1176-1372]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'','\'(10.6-12]\'','\'(1.8-3.6]\'','\'(7.4-9.2]\'',Yes,Yes,No,No
'\'(-inf-650.7]\'',Yes,'\'(2.25-2.5]\'',No,'\'(-inf-1.9]\'',No,'\'(8.2-14.4]\'','\'(0.73-0.82]\'','\'(128-140]\'','\'(5.9-6.6]\'','\'(8-10]\'','\'(1176-1372]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(7.2-9]\'','\'(9.2-11]\'',Yes,No,No,No
'\'(1698.6-1848.3]\'',Yes,'\'(1-1.25]\'',No,'\'(11.4-13.3]\'',Yes,'\'(39.2-45.4]\'','\'(0.55-0.64]\'','\'(140-152]\'','\'(1.7-2.4]\'','\'(12-14]\'','\'(1176-1372]\'','\'(1099.2-1249]\'','\'(1378.6-1752.8]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(14.6-16.4]\'',Yes,Yes,No,No
'\'(1848.3-inf)\'',No,'\'(-inf-0.75]\'',Yes,'\'(1.9-3.8]\'',No,'\'(20.6-26.8]\'','\'(0.64-0.73]\'','\'(152-164]\'','\'(-inf-1.7]\'','\'(6-8]\'','\'(980-1176]\'','\'(1548.6-1698.4]\'','\'(1004.4-1378.6]\'','\'(16.2-17.6]\'','\'(-inf-1.8]\'','\'(9.2-11]\'',Yes,No,No,No
'\'(1698.6-1848.3]\'',No,'\'(1.5-1.75]\'',No,'\'(3.8-5.7]\'',Yes,'\'(8.2-14.4]\'','\'(0.73-0.82]\'','\'(128-140]\'','\'(7.3-inf)\'','\'(8-10]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(2875.4-3249.6]\'','\'(12-13.4]\'','\'(7.2-9]\'','\'(16.4-18.2]\'',Yes,No,Yes,Yes
'\'(1848.3-inf)\'',No,'\'(-inf-0.75]\'',Yes,'\'(-inf-1.9]\'',No,'\'(20.6-26.8]\'','\'(0.73-0.82]\'','\'(176-188]\'','\'(3.8-4.5]\'','\'(-inf-2]\'','\'(392-588]\'','\'(1099.2-1249]\'','\'(630.2-1004.4]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(3.8-5.6]\'',Yes,Yes,Yes,No
'\'(1399.2-1548.9]\'',Yes,'\'(-inf-0.75]\'',No,'\'(-inf-1.9]\'',No,'\'(51.6-57.8]\'','\'(0.64-0.73]\'','\'(164-176]\'','\'(6.6-7.3]\'','\'(12-14]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(1004.4-1378.6]\'','\'(16.2-17.6]\'','\'(-inf-1.8]\'','\'(18.2-inf)\'',Yes,No,No,No
'\'(-inf-650.7]\'',Yes,'\'(-inf-0.75]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(8.2-14.4]\'','\'(-inf-0.19]\'','\'(92-104]\'','\'(4.5-5.2]\'','\'(14-16]\'','\'(980-1176]\'','\'(1099.2-1249]\'','\'(-inf-630.2]\'','\'(17.6-inf)\'','\'(9-10.8]\'','\'(11-12.8]\'',Yes,No,No,No
