@relation 'cleaned_mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-6,10,17-20-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6'

@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute m_dep {'\'(-inf-0.19]\'','\'(0.19-0.28]\'','\'(0.28-0.37]\'','\'(0.37-0.46]\'','\'(0.46-0.55]\'','\'(0.55-0.64]\'','\'(0.64-0.73]\'','\'(0.73-0.82]\'','\'(0.82-0.91]\'','\'(0.91-inf)\''}
@attribute mobile_wt {'\'(-inf-92]\'','\'(92-104]\'','\'(104-116]\'','\'(116-128]\'','\'(128-140]\'','\'(140-152]\'','\'(152-164]\'','\'(164-176]\'','\'(176-188]\'','\'(188-inf)\''}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_height {'\'(-inf-196]\'','\'(196-392]\'','\'(392-588]\'','\'(588-784]\'','\'(784-980]\'','\'(980-1176]\'','\'(1176-1372]\'','\'(1372-1568]\'','\'(1568-1764]\'','\'(1764-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute sc_h {'\'(-inf-6.4]\'','\'(6.4-7.8]\'','\'(7.8-9.2]\'','\'(9.2-10.6]\'','\'(10.6-12]\'','\'(12-13.4]\'','\'(13.4-14.8]\'','\'(14.8-16.2]\'','\'(16.2-17.6]\'','\'(17.6-inf)\''}
@attribute sc_w {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute price_category {No,Yes}

@data
'\'(800.4-950.1]\'','\'(-inf-8.2]\'','\'(0.55-0.64]\'','\'(176-188]\'','\'(-inf-2]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'','\'(7.8-9.2]\'','\'(5.4-7.2]\'',No
'\'(950.1-1099.8]\'','\'(51.6-57.8]\'','\'(0.64-0.73]\'','\'(128-140]\'','\'(4-6]\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(2501.2-2875.4]\'','\'(16.2-17.6]\'','\'(1.8-3.6]\'',No
'\'(-inf-650.7]\'','\'(39.2-45.4]\'','\'(0.82-0.91]\'','\'(140-152]\'','\'(4-6]\'','\'(1176-1372]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'','\'(10.6-12]\'','\'(1.8-3.6]\'',No
'\'(-inf-650.7]\'','\'(8.2-14.4]\'','\'(0.73-0.82]\'','\'(128-140]\'','\'(8-10]\'','\'(1176-1372]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(7.2-9]\'',No
'\'(1698.6-1848.3]\'','\'(39.2-45.4]\'','\'(0.55-0.64]\'','\'(140-152]\'','\'(12-14]\'','\'(1176-1372]\'','\'(1099.2-1249]\'','\'(1378.6-1752.8]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'',No
'\'(1848.3-inf)\'','\'(20.6-26.8]\'','\'(0.64-0.73]\'','\'(152-164]\'','\'(6-8]\'','\'(980-1176]\'','\'(1548.6-1698.4]\'','\'(1004.4-1378.6]\'','\'(16.2-17.6]\'','\'(-inf-1.8]\'',No
'\'(1698.6-1848.3]\'','\'(8.2-14.4]\'','\'(0.73-0.82]\'','\'(128-140]\'','\'(8-10]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(2875.4-3249.6]\'','\'(12-13.4]\'','\'(7.2-9]\'',Yes
'\'(1848.3-inf)\'','\'(20.6-26.8]\'','\'(0.73-0.82]\'','\'(176-188]\'','\'(-inf-2]\'','\'(392-588]\'','\'(1099.2-1249]\'','\'(630.2-1004.4]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'',No
'\'(1399.2-1548.9]\'','\'(51.6-57.8]\'','\'(0.64-0.73]\'','\'(164-176]\'','\'(12-14]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(1004.4-1378.6]\'','\'(16.2-17.6]\'','\'(-inf-1.8]\'',No
'\'(-inf-650.7]\'','\'(8.2-14.4]\'','\'(-inf-0.19]\'','\'(92-104]\'','\'(14-16]\'','\'(980-1176]\'','\'(1099.2-1249]\'','\'(-inf-630.2]\'','\'(17.6-inf)\'','\'(9-10.8]\'',No
'\'(650.7-800.4]\'','\'(8.2-14.4]\'','\'(-inf-0.19]\'','\'(176-188]\'','\'(-inf-2]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(3623.8-inf)\'','\'(-inf-6.4]\'','\'(1.8-3.6]\'',Yes
'\'(1399.2-1548.9]\'','\'(26.8-33]\'','\'(0.46-0.55]\'','\'(176-188]\'','\'(16-18]\'','\'(-inf-196]\'','\'(949.4-1099.2]\'','\'(3623.8-inf)\'','\'(13.4-14.8]\'','\'(7.2-9]\'',Yes
