@relation 'cleaned_mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-4,8-10,12,15-18-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6'

@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute blue {No,Yes}
@attribute fc {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute four_g {No,Yes}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute touch_screen {No,Yes}
@attribute wifi {Yes,No}
@attribute price_category {No,Yes}

@data
'\'(800.4-950.1]\'',No,'\'(-inf-1.9]\'',No,'\'(-inf-8.2]\'','\'(-inf-2]\'','\'(649.8-799.6]\'','\'(2501.2-2875.4]\'',No,Yes,No
'\'(950.1-1099.8]\'',Yes,'\'(-inf-1.9]\'',Yes,'\'(51.6-57.8]\'','\'(4-6]\'','\'(1848.2-inf)\'','\'(2501.2-2875.4]\'',Yes,No,No
'\'(-inf-650.7]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(39.2-45.4]\'','\'(4-6]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'',Yes,No,No
'\'(-inf-650.7]\'',Yes,'\'(-inf-1.9]\'',No,'\'(8.2-14.4]\'','\'(8-10]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'',No,No,No
'\'(1698.6-1848.3]\'',Yes,'\'(11.4-13.3]\'',Yes,'\'(39.2-45.4]\'','\'(12-14]\'','\'(1099.2-1249]\'','\'(1378.6-1752.8]\'',Yes,No,No
'\'(1848.3-inf)\'',No,'\'(1.9-3.8]\'',No,'\'(20.6-26.8]\'','\'(6-8]\'','\'(1548.6-1698.4]\'','\'(1004.4-1378.6]\'',No,No,No
'\'(1698.6-1848.3]\'',No,'\'(3.8-5.7]\'',Yes,'\'(8.2-14.4]\'','\'(8-10]\'','\'(949.4-1099.2]\'','\'(2875.4-3249.6]\'',No,Yes,Yes
'\'(1848.3-inf)\'',No,'\'(-inf-1.9]\'',No,'\'(20.6-26.8]\'','\'(-inf-2]\'','\'(1099.2-1249]\'','\'(630.2-1004.4]\'',Yes,Yes,No
'\'(1399.2-1548.9]\'',Yes,'\'(-inf-1.9]\'',No,'\'(51.6-57.8]\'','\'(12-14]\'','\'(799.6-949.4]\'','\'(1004.4-1378.6]\'',No,No,No
'\'(-inf-650.7]\'',Yes,'\'(1.9-3.8]\'',Yes,'\'(8.2-14.4]\'','\'(14-16]\'','\'(1099.2-1249]\'','\'(-inf-630.2]\'',No,No,No
